Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),distance_km
29,4.6,Drinks ,motorcycle ,21,1.5300320235211002
34,3.6,Snack ,motorcycle ,41,16.660108123693192
34,4.8,Buffet ,motorcycle ,22,4.46931202175492
20,4.3,Drinks ,motorcycle ,15,4.5883872060778055
39,4.6,Buffet ,electric_scooter ,42,11.917100051488791
24,4.8,Buffet ,electric_scooter ,15,7.7626058902454
32,4.8,Drinks ,motorcycle ,26,7.8626681674103684
28,4.7,Buffet ,scooter ,18,1.5126859754657422
30,5.0,Buffet ,motorcycle ,20,9.348052751110616
36,4.1,Drinks ,motorcycle ,48,20.85157880964364
34,4.6,Buffet ,motorcycle ,19,3.1051449132268645
29,4.1,Buffet ,scooter ,38,16.63859018321037
39,4.9,Snack ,motorcycle ,30,9.177484636525243
21,4.8,Meal ,motorcycle ,15,3.1090243972299714
31,4.9,Drinks ,scooter ,16,7.34386385823289
30,4.5,Snack ,scooter ,23,7.449051156906713
30,4.1,Buffet ,motorcycle ,48,16.41264959590889
36,4.9,Buffet ,scooter ,21,1.529162766029632
33,4.9,Meal ,motorcycle ,26,6.210607623190057
24,4.5,Meal ,motorcycle ,21,9.075387359616569
38,4.8,Meal ,motorcycle ,34,6.054776863332266
28,4.6,Meal ,scooter ,32,7.6838087174265155
31,4.6,Snack ,scooter ,15,13.735953712154569
33,4.8,Drinks ,motorcycle ,31,19.362740471251666
30,4.9,Drinks ,electric_scooter ,19,16.637054384885012
30,4.1,Meal ,motorcycle ,39,13.68148555689137
22,4.8,Buffet ,motorcycle ,18,6.217851597564986
35,4.6,Snack ,motorcycle ,25,7.763102784727143
21,5.0,Drinks ,motorcycle ,27,14.022321513257348
24,5.0,Drinks ,motorcycle ,35,10.867138302160432
23,5.0,Drinks ,scooter ,14,3.018841258628892
36,4.9,Drinks ,scooter ,27,6.147160558529004
36,4.3,Meal ,motorcycle ,31,1.5368588631561617
20,4.5,Snack ,motorcycle ,12,7.790401360105752
34,4.8,Meal ,motorcycle ,20,7.7631971453288875
25,4.8,Buffet ,motorcycle ,16,2.976622974286748
37,3.8,Drinks ,motorcycle ,32,20.25308886851953
38,4.1,Drinks ,scooter ,31,11.719471817434323
38,4.5,Snack ,scooter ,25,1.5524148945455951
31,4.1,Snack ,motorcycle ,42,20.44292976252901
22,4.8,Meal ,motorcycle ,26,9.081270101191443
23,4.9,Meal ,scooter ,19,10.71321076429732
39,4.5,Buffet ,scooter ,17,3.073618468414786
25,4.6,Buffet ,motorcycle ,19,14.15280068944862
20,4.1,Meal ,scooter ,31,11.9165950600701
39,4.1,Snack ,motorcycle ,39,16.849904095492622
28,4.6,Meal ,electric_scooter ,29,7.449051156906713
29,4.5,Buffet ,scooter ,15,3472.542664805871
35,4.6,Snack ,scooter ,29,16.63579806090435
21,4.8,Meal ,scooter ,20,9.05586019430546
22,4.7,Drinks ,motorcycle ,17,3.025656084205931
32,4.1,Buffet ,motorcycle ,33,12.24085827411391
28,4.5,Drinks ,motorcycle ,24,11.007734763744617
39,3.5,Meal ,scooter ,40,12.16145053143676
29,4.6,Meal ,motorcycle ,16,20.44292976252901
37,4.1,Drinks ,motorcycle ,33,6.232380002107721
29,4.7,Buffet ,scooter ,34,7.8626681674103684
24,4.8,Buffet ,electric_scooter ,27,16.787776250726907
34,4.9,Buffet ,motorcycle ,29,20.83116974039113
21,4.6,Buffet ,scooter ,24,12.074255310176673
22,4.9,Meal ,scooter ,11,13.788282220013778
37,4.8,Meal ,scooter ,19,1.5298767913547429
23,4.8,Meal ,motorcycle ,12,2.979750394372844
33,4.6,Meal ,scooter ,19,4.596738270616882
28,4.8,Buffet ,scooter ,25,16.826241648658115
29,4.6,Snack ,motorcycle ,21,3.104556052438096
31,4.2,Buffet ,scooter ,48,13.631440268080546
31,4.7,Snack ,electric_scooter ,43,13.773737657079298
35,4.9,Snack ,motorcycle ,23,9.175193844437826
23,4.6,Drinks ,scooter ,28,13.765934616154562
28,4.5,Drinks ,scooter ,12,7.762635434587253
26,4.8,Snack ,scooter ,16,4.469351491411031
27,4.9,Drinks ,motorcycle ,19,9.348068923522018
28,4.7,Meal ,motorcycle ,13,12.43568904742551
36,4.4,Drinks ,motorcycle ,31,6.116387229265562
23,4.8,Drinks ,motorcycle ,22,6.118471180690497
28,4.9,Meal ,scooter ,14,9.121350389794664
23,4.7,Snack ,motorcycle ,24,20.85246594803466
27,4.7,Drinks ,motorcycle ,27,7.760937776419092
30,4.5,Drinks ,motorcycle ,15,9.435201537430714
35,4.8,Drinks ,motorcycle ,45,12.580267822400963
34,4.3,Buffet ,scooter ,36,12.419632405531052
34,4.7,Buffet ,electric_scooter ,22,16.601046189403377
36,4.6,Buffet ,scooter ,23,5.960265171500215
38,4.8,Meal ,scooter ,22,1.5103432312092615
39,4.8,Snack ,scooter ,26,10.569566051096942
24,4.9,Drinks ,motorcycle ,42,13.611337814321281
26,4.6,Drinks ,motorcycle ,16,7.573225613488764
36,4.8,Meal ,motorcycle ,25,16.601433047701192
22,4.8,Snack ,motorcycle ,27,5.952135257928492
27,4.7,Meal ,scooter ,15,7.546781220484458
20,4.7,Drinks ,scooter ,19,3.1162384958431986
21,4.7,Meal ,motorcycle ,19,6.036610249816451
37,4.8,Drinks ,scooter ,18,2.9962420081483025
21,5.0,Snack ,scooter ,15,3.0736169345596607
34,4.7,Buffet ,motorcycle ,37,10.709003371535417
32,4.4,Drinks ,motorcycle ,46,6.210169290102755
24,4.8,Buffet ,scooter ,29,13.82913165629175
36,4.6,Drinks ,motorcycle ,20,6.29013467763468
22,4.6,Meal ,motorcycle ,19,19.91703823583007
39,4.9,Drinks ,motorcycle ,25,10.586595268060286
29,4.4,Buffet ,motorcycle ,32,12.24085827411391
24,4.9,Drinks ,electric_scooter ,25,19.672531807091016
34,4.4,Meal ,motorcycle ,36,4.528570754218756
26,4.7,Meal ,scooter ,12,3.0644857806760535
26,4.9,Drinks ,motorcycle ,26,9.075423573606574
37,4.8,Drinks ,motorcycle ,41,14.15280068944862
32,4.8,Drinks ,motorcycle ,20,13.97317756157655
35,3.6,Buffet ,motorcycle ,31,13.583332471810195
34,4.7,Snack ,motorcycle ,27,12.350452449574242
37,4.4,Buffet ,electric_scooter ,32,17.29786575291325
39,4.4,Buffet ,motorcycle ,31,17.098593053938863
38,4.6,Buffet ,motorcycle ,29,7.772430463816821
20,4.9,Drinks ,motorcycle ,11,6.232177403679017
37,4.3,Snack ,motorcycle ,34,4.658009301231346
36,4.6,Buffet ,scooter ,25,7.763183552897837
22,4.5,Drinks ,scooter ,27,4.610285665960067
36,3.7,Meal ,scooter ,42,13.580373876280879
21,4.8,Snack ,motorcycle ,10,3.104605953841284
37,4.7,Snack ,scooter ,20,4.656811824870756
38,4.1,Buffet ,scooter ,39,10.723264172167632
26,4.8,Buffet ,scooter ,11,16.720582121841456
22,4.6,Drinks ,electric_scooter ,21,16.41141457497892
38,4.8,Buffet ,motorcycle ,20,3.1048037532854496
32,4.8,Snack ,scooter ,20,12.100062421152574
27,4.6,Snack ,motorcycle ,14,7.601027931404884
30,5.0,Drinks ,motorcycle ,47,20.20642094372373
31,4.7,Meal ,scooter ,22,4.544228016639666
37,4.5,Snack ,scooter ,19,7.660348489150972
26,4.4,Drinks ,motorcycle ,36,20.18126391655723
27,4.6,Drinks ,scooter ,13,3.0646598407974865
37,4.0,Drinks ,scooter ,37,13.787803344501583
33,5.0,Drinks ,scooter ,27,10.881329493408392
39,4.6,Buffet ,scooter ,30,9.220397882984718
27,4.6,Drinks ,electric_scooter ,23,7.682703792667339
21,4.8,Drinks ,motorcycle ,24,2.984638285081008
21,4.9,Meal ,motorcycle ,19,7.6597039787034085
33,4.5,Buffet ,scooter ,18,20.205788522337425
29,4.8,Snack ,scooter ,10,7.761160094160204
23,4.6,Buffet ,motorcycle ,26,10.707345040408097
25,5.0,Buffet ,scooter ,20,20.506920853845727
30,4.9,Drinks ,motorcycle ,24,7.660957436559021
27,4.5,Meal ,scooter ,29,13.9707596607468
32,4.6,Buffet ,motorcycle ,26,6.037474189824093
37,4.9,Buffet ,scooter ,25,20.252959556511744
26,4.7,Buffet ,motorcycle ,19,3.040539883060508
33,4.8,Drinks ,electric_scooter ,20,10.48574789633866
23,4.9,Meal ,scooter ,20,12.117044368866695
20,4.6,Buffet ,motorcycle ,34,13.392894243305735
27,4.8,Buffet ,scooter ,11,3.145067434621583
20,4.7,Drinks ,electric_scooter ,28,19.395547662925235
36,5.0,Meal ,motorcycle ,17,9.435201537430714
34,4.9,Buffet ,motorcycle ,32,6.209141643213009
21,4.8,Snack ,motorcycle ,28,9.313449926160661
38,3.5,Meal ,electric_scooter ,32,10.705622903496973
37,4.5,Buffet ,scooter ,25,12.209717869596636
25,4.5,Snack ,motorcycle ,36,12.09917098801042
28,4.8,Snack ,motorcycle ,16,4.717601092054723
37,4.5,Meal ,motorcycle ,27,3.1051455399287056
27,4.6,Drinks ,scooter ,14,9.080676816810893
30,4.8,Drinks ,scooter ,15,4.537647566708254
27,4.9,Buffet ,motorcycle ,18,9.121491544069729
28,4.7,Meal ,motorcycle ,30,9.313691518325752
37,4.8,Meal ,scooter ,30,4.540779627969584
31,4.5,Buffet ,scooter ,28,7.66101794664148
37,4.9,Meal ,motorcycle ,26,16.600361127912656
27,4.8,Drinks ,motorcycle ,18,12.256574293065658
24,4.8,Meal ,motorcycle ,10,1.532234790495708
33,4.5,Drinks ,motorcycle ,31,13.7888461168452
38,4.8,Drinks ,electric_scooter ,19,1.5204696675466998
22,4.4,Snack ,motorcycle ,31,20.08073723498421
29,4.4,Snack ,scooter ,31,13.97317756157655
24,4.5,Drinks ,scooter ,28,7.763180727989777
34,4.8,Snack ,motorcycle ,31,9.075521306663484
31,4.7,Snack ,electric_scooter ,24,2.984400688567299
36,4.1,Drinks ,motorcycle ,35,13.406506203190967
28,4.9,Drinks ,motorcycle ,21,1.5322015943257514
28,4.8,Buffet ,motorcycle ,26,10.807410660610635
21,4.6,Snack ,motorcycle ,26,4.560926278066122
22,4.8,Snack ,motorcycle ,10,19.88015786997755
29,4.6,Snack ,motorcycle ,19,17904.390926713295
29,4.8,Drinks ,motorcycle ,26,12.580267822400963
20,4.7,Snack ,scooter ,16,12.256687342592269
25,5.0,Snack ,scooter ,18,19.660674820590273
26,4.8,Snack ,motorcycle ,28,12.16161548161981
29,4.6,Meal ,motorcycle ,41,19.362561679297382
31,3.8,Drinks ,scooter ,31,10.725127399399225
26,5.0,Meal ,motorcycle ,19,11.007734763744617
34,4.5,Snack ,motorcycle ,24,4.717601092054723
23,4.8,Snack ,motorcycle ,38,10.708220667367794
32,4.6,Drinks ,scooter ,40,13.63090323633241
21,4.6,Drinks ,scooter ,13,6.080882967594328
29,4.6,Drinks ,scooter ,17,2.9797958851316784
38,4.8,Snack ,electric_scooter ,15,7.790177003822013
22,5.0,Snack ,scooter ,17,4.476679400517646
31,4.5,Buffet ,scooter ,25,13.968842021961057
31,4.1,Meal ,motorcycle ,39,6.232472211118879
31,4.9,Meal ,motorcycle ,23,7.683765443180287
39,4.8,Drinks ,scooter ,33,1.5525629397903205
39,5.0,Buffet ,scooter ,11,7.772429015118234
28,4.5,Meal ,motorcycle ,12,4.67433301643506
39,5.0,Snack ,motorcycle ,19,5.958831946914462
27,4.5,Meal ,motorcycle ,12,13.406473968860336
36,4.7,Snack ,scooter ,21,20.20642094372373
33,4.0,Drinks ,motorcycle ,31,3.0250863295462396
29,4.9,Buffet ,scooter ,18,14.045456883618343
22,4.6,Buffet ,scooter ,15,1.5101061706143113
39,4.5,Drinks ,scooter ,26,2.9303382895478234
29,4.9,Meal ,motorcycle ,24,20.182068898087746
25,4.9,Buffet ,motorcycle ,14,10.569597346528381
25,4.9,Meal ,motorcycle ,16,20.253686339517458
34,4.6,Buffet ,scooter ,24,2.930314663391813
28,5.0,Snack ,motorcycle ,15,13.73594217639692
34,4.9,Snack ,scooter ,25,17.078028601490022
32,4.7,Drinks ,motorcycle ,27,3.0295246341921644
25,4.9,Meal ,motorcycle ,21,10.880951367269885
29,4.6,Snack ,scooter ,13,10.416889336224843
36,4.4,Buffet ,motorcycle ,33,6.050486021641428
26,4.5,Drinks ,motorcycle ,23,6.217851597564986
34,4.6,Drinks ,motorcycle ,41,17.29786575291325
24,4.2,Drinks ,scooter ,40,13.429183489869182
24,4.3,Drinks ,motorcycle ,33,16.98428375279679
36,5.0,Meal ,motorcycle ,17,6.210168035777162
29,4.2,Buffet ,scooter ,37,10.72504264384306
25,4.7,Meal ,motorcycle ,20,16.818368923732613
30,4.3,Meal ,scooter ,34,12.418408999826822
32,4.2,Snack ,scooter ,32,6.04975791889521
23,4.6,Buffet ,motorcycle ,29,12.117036432265502
26,4.2,Drinks ,motorcycle ,38,5.860610778162196
38,4.7,Drinks ,scooter ,31,9.12108977493757
38,4.6,Snack ,scooter ,30,10.587819003215479
30,4.8,Snack ,motorcycle ,33,9.326725258722023
33,4.0,Meal ,electric_scooter ,40,10.428102699087153
39,4.6,Meal ,motorcycle ,35,19.04256304289831
29,4.7,Snack ,scooter ,22,10.907140151568118
38,4.9,Drinks ,motorcycle ,25,1.5524064590051572
33,5.0,Snack ,scooter ,33,1.5525704156536744
22,4.6,Drinks ,motorcycle ,24,3.064427093024872
33,4.9,Meal ,motorcycle ,35,4.5279972125744
30,4.0,Meal ,electric_scooter ,38,4.657651549280329
26,4.8,Snack ,scooter ,10,5.860416837896751
33,4.2,Snack ,motorcycle ,26,1.572533729286321
27,4.8,Buffet ,electric_scooter ,13,6.050438648835732
24,4.9,Meal ,motorcycle ,25,16.63531520325545
24,4.3,Meal ,motorcycle ,39,20.182728669258125
22,4.7,Snack ,motorcycle ,27,19.88431857497891
33,4.1,Meal ,motorcycle ,20,1.572533729286321
31,4.9,Drinks ,motorcycle ,21,19.884989093916975
22,4.6,Drinks ,motorcycle ,11,1.5137650551016817
24,4.6,Snack ,scooter ,14,1.5094642591450969
21,5.0,Snack ,motorcycle ,27,9.22083460710881
21,4.8,Snack ,motorcycle ,39,10.711191521545718
24,5.0,Buffet ,motorcycle ,24,13.973037056670602
25,4.8,Snack ,scooter ,15,9.121044921629522
34,3.8,Snack ,motorcycle ,34,13.61116354777465
38,4.9,Drinks ,motorcycle ,23,4.6103798439313035
28,3.9,Drinks ,motorcycle ,41,4.589124571257244
27,4.3,Snack ,motorcycle ,35,16.636744591831217
25,4.7,Snack ,motorcycle ,11,4.65819360783491
21,4.1,Snack ,motorcycle ,40,17.074116110019787
34,4.3,Drinks ,electric_scooter ,40,13.973727486522968
33,4.7,Drinks ,motorcycle ,28,4.658009428704457
29,4.6,Buffet ,scooter ,19,20.85246594803466
36,4.2,Snack ,motorcycle ,34,4.663432201620595
22,4.4,Snack ,motorcycle ,17,1.5203682291094078
30,4.6,Snack ,motorcycle ,30,12.417487520918895
36,4.9,Meal ,motorcycle ,25,7.8626681674103684
23,4.9,Buffet ,motorcycle ,28,6.037474189824093
24,4.0,Meal ,motorcycle ,35,19.673782443833463
33,4.8,Buffet ,motorcycle ,42,13.97317756157655
30,4.9,Meal ,scooter ,49,12.100287598006089
24,4.8,Meal ,motorcycle ,11,17.07302628964209
39,4.9,Buffet ,scooter ,17,4.395172855375738
33,4.8,Snack ,scooter ,17,4.596698554557205
29,4.6,Drinks ,motorcycle ,43,17120.591395916697
31,4.6,Drinks ,scooter ,28,3.0408931296411703
31,4.8,Buffet ,motorcycle ,38,13.830016226508704
34,4.0,Meal ,motorcycle ,36,9.313449926160661
25,4.6,Drinks ,scooter ,22,13.631339548300275
28,4.9,Buffet ,electric_scooter ,37,16.72211837577326
29,4.6,Meal ,motorcycle ,17,6.210061176100266
33,4.4,Meal ,motorcycle ,48,6.050094908857936
38,5.0,Drinks ,scooter ,31,6.054382229846305
26,4.7,Meal ,scooter ,10,4.589965403039351
28,5.0,Buffet ,motorcycle ,28,16.849904095492622
23,4.5,Buffet ,scooter ,26,10.641436955070953
21,4.7,Drinks ,scooter ,15,9.314920531574971
24,4.6,Drinks ,scooter ,16,4.656811824870756
23,4.6,Buffet ,motorcycle ,17,16.63859018321037
26,4.8,Buffet ,electric_scooter ,16,12.162424445777306
35,4.5,Snack ,scooter ,29,2.9961369047359456
38,5.0,Meal ,motorcycle ,28,4.537516076226438
22,4.9,Meal ,motorcycle ,19,3.1091344143312867
33,4.2,Snack ,scooter ,33,4.717601092054723
29,4.6,Drinks ,scooter ,27,6.217689154531592
23,4.5,Snack ,scooter ,22,11.007734763744617
24,4.9,Buffet ,electric_scooter ,15,1.5263832936835364
35,4.7,Buffet ,electric_scooter ,25,9.315745361545886
37,4.9,Buffet ,motorcycle ,41,19.61916749330441
31,4.2,Buffet ,motorcycle ,41,6.1186308844114
22,4.7,Drinks ,scooter ,20,2.979598701342032
24,4.6,Snack ,motorcycle ,28,11.916235157217862
39,4.5,Buffet ,motorcycle ,15,8.79025128458564
28,4.9,Buffet ,scooter ,10,2.9961369047359456
35,5.0,Meal ,motorcycle ,44,13.829931792649827
25,4.9,Drinks ,scooter ,22,4.5607604314529
29,5.0,Buffet ,motorcycle ,38,12.29361121840287
21,4.8,Drinks ,motorcycle ,26,17.138077427627866
38,4.8,Drinks ,motorcycle ,28,4.494227798361535
32,4.6,Meal ,motorcycle ,34,1.4897343062370803
35,4.6,Snack ,motorcycle ,41,20.25305420828035
25,4.8,Drinks ,motorcycle ,16,17.09819699771769
39,5.0,Drinks ,motorcycle ,19,3.1161272207711526
27,4.9,Meal ,scooter ,21,6.081440797008078
38,4.6,Buffet ,electric_scooter ,28,6.210618323092562
23,4.8,Snack ,motorcycle ,10,19.975152579495532
22,4.7,Meal ,motorcycle ,24,12.464369459117805
23,4.7,Meal ,scooter ,25,1.5607174317807049
37,4.9,Snack ,motorcycle ,19,4.591636071834256
34,4.6,Meal ,motorcycle ,49,10.602497166339631
29,4.8,Drinks ,motorcycle ,27,12.463937409087931
24,4.1,Buffet ,motorcycle ,34,7.448303502970493
35,4.7,Meal ,motorcycle ,26,3.104556052438096
24,4.8,Drinks ,scooter ,17,13.63090323633241
38,4.9,Drinks ,scooter ,15,4.67431885403065
28,4.6,Buffet ,motorcycle ,18,10.564405615161895
26,4.6,Drinks ,motorcycle ,16,10.724750462255022
20,4.7,Drinks ,motorcycle ,23,9.121519225895119
35,4.8,Snack ,scooter ,26,7.8626681674103684
29,4.7,Buffet ,motorcycle ,28,10.427208660422918
30,4.6,Meal ,motorcycle ,20,4.596698554557205
25,4.9,Meal ,scooter ,23,9.121874081416118
24,4.7,Drinks ,scooter ,21,10.707144604562082
25,4.6,Meal ,motorcycle ,18,1.554543733521478
35,4.3,Snack ,motorcycle ,36,20.182068898087746
25,5.0,Buffet ,scooter ,12,7.8626681674103684
38,4.7,Buffet ,motorcycle ,37,1.5204704557283455
31,4.3,Snack ,scooter ,32,10.711185800959656
25,4.8,Drinks ,motorcycle ,23,6.209021101535612
29,4.7,Drinks ,scooter ,23,12.463937409087931
26,4.9,Meal ,motorcycle ,36,4.717601092054723
29,4.6,Meal ,motorcycle ,47,11.91667929885388
24,4.9,Meal ,electric_scooter ,22,13.97121661678327
33,4.9,Snack ,motorcycle ,48,20.85227883430363
36,5.0,Drinks ,scooter ,14,3.060475538709063
29,4.6,Snack ,motorcycle ,20,9.192770952683547
31,4.7,Buffet ,motorcycle ,25,7.66052012420465
33,4.8,Drinks ,motorcycle ,27,7.683355299930933
29,4.6,Drinks ,electric_scooter ,24,4.656990844808267
31,4.6,Buffet ,motorcycle ,23,7.8626681674103684
24,5.0,Snack ,motorcycle ,25,13.18466274082461
34,4.3,Buffet ,motorcycle ,31,7.450285845946469
29,4.7,Snack ,motorcycle ,14,17.29786575291325
28,4.7,Snack ,motorcycle ,10,3.064627592336888
32,4.7,Snack ,scooter ,24,14.15280068944862
37,4.1,Meal ,motorcycle ,33,1.5581322655568652
25,4.8,Meal ,scooter ,29,8.953309267799316
23,4.8,Meal ,motorcycle ,28,17.097896810816284
36,4.2,Drinks ,motorcycle ,33,4.610365144357058
33,4.7,Drinks ,scooter ,29,3.073787868356216
26,4.6,Snack ,motorcycle ,24,6.147092755626801
22,4.6,Meal ,motorcycle ,22,6.037448590044755
22,4.6,Drinks ,motorcycle ,15,9.074744674241003
22,4.6,Buffet ,motorcycle ,26,6.146925931738805
25,4.8,Drinks ,scooter ,17,6.049788909378549
33,4.8,Snack ,electric_scooter ,30,10.564987742503256
25,4.7,Meal ,motorcycle ,11,2.9766115118201046
29,4.8,Snack ,scooter ,20,4.579035880489321
35,4.7,Drinks ,scooter ,25,9.313347514768024
20,4.9,Buffet ,motorcycle ,37,13.989249784535353
32,4.8,Snack ,scooter ,29,1.5606207903231117
26,4.7,Drinks ,motorcycle ,10,1.572533729286321
37,4.6,Drinks ,scooter ,22,1.5298253586323256
32,4.3,Meal ,motorcycle ,37,12.256076445468295
34,4.8,Meal ,motorcycle ,22,13.971968544834215
27,4.8,Snack ,scooter ,10,3.058551495341316
25,4.8,Buffet ,electric_scooter ,30,17.138041435510257
30,4.5,Buffet ,motorcycle ,41,10.707006464770936
23,5.0,Buffet ,scooter ,23,10.72465156807538
39,4.5,Snack ,scooter ,29,6.210060323088704
29,4.6,Buffet ,motorcycle ,32,9.079930407559079
35,4.2,Drinks ,motorcycle ,41,12.253528674537144
28,4.9,Snack ,motorcycle ,37,14.022298282479131
24,4.9,Meal ,scooter ,14,12.162306145096023
35,4.4,Buffet ,scooter ,33,16.72211869180285
29,5.0,Buffet ,scooter ,16,1.520455689583788
21,4.7,Buffet ,motorcycle ,37,12.29354192492578
39,5.0,Buffet ,scooter ,34,13.972191759503005
33,4.5,Buffet ,electric_scooter ,19,4.4684124412647535
30,4.6,Meal ,scooter ,18,4.6576255671472415
39,4.9,Buffet ,scooter ,26,13.77113289483828
35,4.8,Drinks ,scooter ,28,3.027364828628622
21,4.7,Buffet ,motorcycle ,19,7.6461047483215205
35,4.3,Snack ,scooter ,33,4.663439017652667
32,4.3,Meal ,motorcycle ,31,1.536864059415262
27,4.9,Drinks ,motorcycle ,13,6.1462436583934315
26,4.8,Snack ,motorcycle ,22,7.683765443180287
23,5.0,Drinks ,motorcycle ,29,16.384334344092046
35,5.0,Meal ,scooter ,31,3.0736169345596607
21,4.6,Meal ,motorcycle ,49,11.007734763744617
28,4.6,Drinks ,electric_scooter ,29,7.76260023979039
30,4.9,Snack ,scooter ,26,9.19040310530244
23,4.7,Drinks ,motorcycle ,24,6.175440417126042
38,4.2,Drinks ,motorcycle ,35,13.480852296838306
31,3.6,Meal ,scooter ,31,10.642018863256986
32,4.9,Drinks ,scooter ,31,1.572533729286321
30,4.7,Meal ,motorcycle ,26,3.064676862169093
35,5.0,Meal ,electric_scooter ,15,20.28602593785875
33,3.7,Meal ,scooter ,32,10.602450942886513
26,4.5,Meal ,motorcycle ,19,6.080882967594328
39,5.0,Drinks ,motorcycle ,53,19.362825446415226
37,4.9,Drinks ,motorcycle ,25,7.8626681674103684
27,4.7,Buffet ,motorcycle ,28,6.128551257919138
39,4.7,Drinks ,motorcycle ,20,6.116971669682334
